2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|39156-5|Body mass index (BMI) [Ratio]|LOINC|2.63|2.16.840.1.113883.6.1|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85|Body mass index [BMI]|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.0|Body Mass Index less than 19, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.1|Body Mass Index between 19-24, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.2|Body Mass Index between 25-29, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.21|Body Mass Index 25.0-25.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.22|Body Mass Index 26.0-26.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.23|Body Mass Index 27.0-27.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.24|Body Mass Index 28.0-28.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.25|Body Mass Index 29.0-29.9, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
2.16.840.1.113883.3.600.1.890|BMI Finding Code Set|Latest|V85.3|Body Mass Index between 30-39, adult|ICD9CM|2013|2.16.840.1.113883.6.103|(Clinical Focus: ),(Data Element Scope: ),(Inclusion Criteria: ),(Exclusion Criteria: )
